"Observations","Time.Spent.at.DentMax.Booth","Time.Spent.at.DentMed.OxyMax.Booth","Total.Time.spent.at.show","X..Buying.from.DentMax.in.the.past","Historical.Sales.Index","Sales.Frequency","Length.of.Relationship","Number.of.Referrals.Offered","Importance.of.Image.Quality","Importance.of.Diagnostic.Flexibility","Importance.of.Software.Intergation","Importance.of.Technical.Assistance","Importance.of.Price","Trust.in.TV.ads","Trust.in.Radio.Ads","Trust.in.Internet.Ads","Trust.in.Dental.Magazine.Ads","Trust.in.Peers"
"Respondent 42","12","22","150","31","21","3","4","1","5","5","5","6","6","5","5","4","5","6"
"Respondent 43","6","11","60","6","8","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 44","36","78","180","45","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 45","12","22","150","33","21","3","4","1","5","5","5","6","7","5","5","4","6","6"
"Respondent 46","13","21","150","32","22","3","4","0","5","5","5","6","7","5","4","4","5","5"
"Respondent 47","12","21","151","31","21","3","4","1","5","5","4","6","7","5","5","4","6","6"
"Respondent 48","12","21","150","32","21","3","4","0","5","5","5","6","7","4","5","4","6","6"
"Respondent 49","11","22","150","32","21","3","4","0","5","5","5","6","6","5","5","4","5","6"
"Respondent 50","12","21","151","31","21","3","4","0","5","5","5","6","7","5","4","4","5","5"
"Respondent 51","36","78","180","46","64","5","9","2","6","6","7","6","6","4","4","6","6","7"
"Respondent 52","13","22","150","31","21","3","4","1","5","5","5","6","7","4","4","4","5","6"
"Respondent 53","12","20","150","32","22","3","4","1","5","5","5","6","7","4","5","4","5","5"
"Respondent 54","6","11","60","5","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 55","12","21","150","32","20","3","4","0","5","5","5","6","7","5","4","4","6","6"
"Respondent 56","6","12","60","7","8","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 57","11","21","150","32","20","3","4","1","5","5","5","7","7","5","4","4","5","6"
"Respondent 58","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 59","37","78","181","45","64","4","9","2","6","5","7","6","6","5","5","6","6","7"
"Respondent 60","36","78","179","45","64","4","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 61","36","77","180","45","64","4","9","2","6","5","6","6","6","5","4","6","6","7"
"Respondent 62","45","26","130","101","59","6","8","12","7","7","4","5","5","5","4","4","7","6"
"Respondent 63","12","21","150","32","21","3","5","0","5","5","5","6","7","5","5","4","6","5"
"Respondent 64","35","77","180","45","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 65","36","78","180","46","64","5","9","2","6","5","6","6","6","5","5","6","6","7"
"Respondent 66","12","21","150","32","20","3","4","1","5","5","5","6","7","5","5","4","6","6"
"Respondent 67","45","26","130","100","58","6","8","12","7","7","5","6","4","5","4","4","6","6"
"Respondent 68","12","21","151","33","20","3","4","1","5","5","5","6","7","5","5","4","6","5"
"Respondent 69","36","78","180","45","64","5","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 70","45","26","129","100","58","6","8","12","6","7","4","5","4","5","4","4","6","6"
"Respondent 71","36","79","180","45","64","4","9","2","6","5","7","6","6","4","5","6","6","7"
"Respondent 72","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","6","6"
"Respondent 73","5","11","59","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 74","36","77","180","44","64","5","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 75","12","22","151","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 76","37","78","180","46","64","4","9","2","6","6","6","6","6","5","4","6","6","7"
"Respondent 77","13","21","150","32","21","3","5","1","5","5","5","6","7","5","5","4","6","6"
"Respondent 78","36","78","180","45","64","4","9","2","6","5","6","6","6","5","5","6","6","7"
"Respondent 79","36","78","180","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 80","12","21","149","32","21","3","4","1","5","5","5","6","7","5","5","4","6","6"
"Respondent 81","36","78","180","44","65","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 82","45","25","130","100","58","6","8","12","7","7","4","5","4","5","4","4","7","6"
"Respondent 83","12","21","150","31","21","3","4","1","5","5","5","6","7","5","4","4","5","5"
"Respondent 84","5","11","60","6","10","1","9","0","3","4","4","7","7","4","4","3","4","5"
"Respondent 85","12","22","150","32","22","3","4","1","5","5","5","7","7","5","4","4","6","6"
"Respondent 86","13","22","150","31","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 87","36","78","180","45","64","5","9","2","6","5","7","6","6","4","5","6","6","7"
"Respondent 88","12","20","151","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 89","11","21","150","32","21","3","5","1","5","5","5","6","7","5","4","4","5","5"
"Respondent 90","36","78","180","45","64","5","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 91","35","78","181","45","64","4","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 92","12","20","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","5"
"Respondent 93","36","78","180","45","64","4","9","2","6","5","6","6","6","5","5","6","6","7"
"Respondent 94","36","77","181","45","63","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 95","12","20","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","5"
"Respondent 96","45","27","130","100","57","6","8","12","6","7","4","5","4","5","4","4","7","6"
"Respondent 97","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 98","13","21","150","33","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 99","45","26","131","100","58","6","8","12","7","7","4","6","4","5","4","4","6","6"
"Respondent 100","12","21","150","32","20","3","4","1","5","5","5","6","7","5","4","4","6","6"
"Respondent 101","45","27","129","101","58","6","8","12","7","7","5","5","4","5","4","3","6","6"
"Respondent 102","12","21","150","32","20","3","4","0","5","5","5","6","7","4","5","4","5","6"
"Respondent 103","36","78","181","45","65","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 104","36","78","180","46","64","5","9","2","6","5","6","6","6","5","5","6","6","7"
"Respondent 105","12","21","150","33","21","3","4","0","5","5","5","7","7","5","4","4","5","6"
"Respondent 106","12","21","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 107","6","10","61","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 108","45","26","131","100","58","6","8","12","6","7","4","6","4","5","4","4","7","6"
"Respondent 109","6","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 110","12","22","150","31","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 111","12","20","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 112","45","26","130","99","58","6","8","12","6","7","4","6","4","5","4","3","6","6"
"Respondent 113","35","78","180","46","64","5","9","2","6","5","7","6","6","5","5","6","6","7"
"Respondent 114","12","22","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 115","46","25","130","100","59","6","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 116","36","79","179","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 117","12","22","149","32","21","3","5","1","5","5","5","6","7","5","5","4","6","6"
"Respondent 118","6","11","60","6","10","1","9","0","4","4","4","7","7","4","3","3","4","6"
"Respondent 119","12","21","149","32","20","3","4","1","5","5","5","6","7","5","5","4","5","5"
"Respondent 120","7","12","60","6","9","1","9","0","4","4","4","6","7","4","4","3","4","5"
"Respondent 121","36","78","180","45","65","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 122","36","78","180","45","64","5","9","2","6","5","7","6","6","4","5","6","5","7"
"Respondent 123","6","11","61","6","9","1","9","0","4","4","4","7","7","4","4","3","4","6"
"Respondent 124","6","12","60","5","8","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 125","12","21","150","31","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 126","11","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","6","6"
"Respondent 127","36","78","180","45","64","4","9","2","6","6","7","6","6","4","4","6","6","7"
"Respondent 128","46","25","130","100","59","6","8","12","7","7","4","6","4","5","4","4","6","6"
"Respondent 129","12","20","150","31","21","3","4","1","5","5","5","6","7","4","4","4","6","6"
"Respondent 130","36","78","181","46","63","4","9","2","6","6","6","6","6","5","5","6","6","7"
"Respondent 131","6","10","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 132","12","22","150","32","21","3","4","1","5","5","5","6","7","4","5","4","5","6"
"Respondent 133","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","5"
"Respondent 134","12","21","151","32","22","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 135","12","21","151","33","21","3","4","0","5","5","5","6","7","5","4","4","6","6"
"Respondent 136","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 137","36","78","181","45","64","5","9","2","6","5","7","6","6","5","5","6","6","7"
"Respondent 138","6","11","60","7","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 139","36","78","180","44","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 140","45","26","130","100","57","6","8","12","6","7","4","6","4","5","4","4","6","6"
"Respondent 141","6","11","60","6","9","1","8","0","4","4","4","6","7","4","4","3","4","5"
"Respondent 142","13","21","150","32","21","3","4","1","5","5","5","6","7","4","4","4","5","6"
"Respondent 143","12","21","149","32","21","3","4","0","5","5","5","6","6","5","5","4","5","6"
"Respondent 144","13","21","150","31","21","3","4","1","5","5","5","6","7","4","5","4","5","6"
"Respondent 145","46","25","130","99","58","6","8","12","6","7","4","6","4","5","4","4","6","6"
"Respondent 146","6","10","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 147","12","21","149","33","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 148","12","21","150","33","20","3","4","1","5","5","5","6","7","4","4","4","5","6"
"Respondent 149","45","26","129","100","58","6","8","12","7","6","4","6","4","5","4","4","7","6"
"Respondent 150","12","21","150","33","21","3","4","1","5","5","4","6","7","4","4","4","5","6"
"Respondent 151","12","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 152","6","10","60","5","10","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 153","37","78","180","45","64","4","9","2","6","6","6","6","6","4","4","6","6","7"
"Respondent 154","11","22","150","33","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 155","6","11","60","6","8","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 156","36","78","180","45","65","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 157","45","26","130","100","59","6","8","12","7","7","4","6","4","5","4","4","6","6"
"Respondent 158","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 159","45","27","129","100","58","6","8","12","7","7","4","6","4","5","4","3","6","6"
"Respondent 160","36","79","180","44","64","4","9","2","6","6","6","6","6","4","4","6","6","7"
"Respondent 161","12","21","150","32","21","3","4","1","5","5","5","6","6","4","4","4","6","5"
"Respondent 162","36","78","180","45","64","5","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 163","36","77","180","45","64","4","9","3","6","6","6","6","6","4","5","6","6","7"
"Respondent 164","12","20","150","32","21","3","4","1","5","5","5","6","7","4","4","4","5","6"
"Respondent 165","46","26","130","100","58","6","8","12","7","7","4","6","5","5","4","4","7","6"
"Respondent 166","12","21","150","33","21","3","4","0","5","5","5","6","7","5","4","4","5","5"
"Respondent 167","12","20","150","32","21","3","4","1","5","5","5","7","7","5","5","4","5","6"
"Respondent 168","11","21","150","32","21","3","4","0","5","5","5","6","7","4","5","4","5","6"
"Respondent 169","37","78","180","45","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 170","46","26","130","100","58","6","8","12","7","7","4","6","5","5","4","4","7","6"
"Respondent 171","12","21","149","33","22","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 172","6","11","60","6","9","1","9","0","4","4","4","7","7","3","4","3","4","5"
"Respondent 173","12","21","151","32","21","3","4","1","5","5","5","7","7","5","5","4","5","6"
"Respondent 174","6","11","59","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 175","13","21","150","32","21","3","4","0","5","5","5","6","6","5","5","4","6","6"
"Respondent 176","7","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 177","12","21","151","32","21","3","4","0","5","5","5","6","7","4","5","4","5","6"
"Respondent 178","6","11","61","6","10","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 179","12","21","150","31","21","3","4","1","5","5","5","6","7","4","5","4","6","6"
"Respondent 180","36","78","180","45","64","5","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 181","36","78","180","45","63","5","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 182","13","21","150","32","22","3","4","1","5","5","5","6","7","5","5","4","6","6"
"Respondent 183","6","11","60","5","9","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 184","12","22","151","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 185","13","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 186","12","20","151","33","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 187","6","11","59","6","10","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 188","36","78","180","45","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 189","11","22","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","5"
"Respondent 190","6","10","60","6","10","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 191","12","21","149","33","21","3","4","1","5","5","5","6","7","4","4","4","5","6"
"Respondent 192","12","21","150","32","21","3","5","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 193","12","21","150","33","21","3","4","1","5","5","5","6","7","5","5","4","6","6"
"Respondent 194","12","21","150","32","21","3","5","1","5","5","5","6","7","4","5","4","5","5"
"Respondent 195","6","11","60","6","9","0","9","0","4","4","4","7","7","3","3","3","4","5"
"Respondent 196","12","22","150","31","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 197","12","21","150","32","21","3","4","1","5","5","5","6","7","4","5","4","5","6"
"Respondent 198","6","11","60","6","9","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 199","12","21","150","32","20","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 200","36","78","180","46","64","5","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 201","36","78","180","44","64","4","9","2","6","6","6","6","6","5","5","6","6","7"
"Respondent 202","45","25","131","99","58","6","8","12","6","7","4","6","5","5","4","4","6","6"
"Respondent 203","12","20","150","32","22","3","4","1","5","5","5","7","7","5","4","4","5","5"
"Respondent 204","7","12","59","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 205","45","26","130","99","59","6","8","12","7","7","4","5","4","5","4","4","7","6"
"Respondent 206","12","20","149","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 207","12","20","150","32","22","3","4","1","5","5","5","6","7","4","4","4","5","6"
"Respondent 208","46","26","129","100","59","6","8","12","7","7","4","5","4","5","4","4","7","6"
"Respondent 209","12","20","150","33","21","3","4","1","5","5","5","6","7","4","4","4","5","6"
"Respondent 210","36","78","180","45","64","4","9","2","6","6","6","6","6","4","4","6","6","7"
"Respondent 211","13","21","150","31","21","3","5","0","5","5","5","6","7","4","4","4","5","5"
"Respondent 212","36","79","180","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 213","45","26","130","100","58","6","9","12","6","7","4","6","4","5","4","3","6","6"
"Respondent 214","12","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 215","12","21","150","33","21","3","4","0","5","5","5","6","7","5","4","4","5","5"
"Respondent 216","13","22","150","32","22","3","4","0","5","5","5","6","7","4","4","4","5","6"
"Respondent 217","36","78","180","45","63","4","9","2","6","5","7","6","6","5","5","6","6","7"
"Respondent 218","35","77","180","46","64","5","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 219","12","21","149","32","21","3","4","1","5","5","5","6","7","5","5","4","6","6"
"Respondent 220","12","20","149","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 221","36","78","181","45","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 222","6","11","59","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 223","11","22","150","33","20","3","4","0","5","5","5","6","7","5","5","4","6","6"
"Respondent 224","11","21","149","31","21","3","4","0","5","5","5","6","7","4","4","4","5","6"
"Respondent 225","12","21","151","32","21","3","4","0","5","5","5","6","6","5","4","4","5","6"
"Respondent 226","12","21","150","32","21","3","4","0","5","5","5","6","7","4","4","4","5","6"
"Respondent 227","36","78","179","45","64","4","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 228","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 229","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 230","45","26","131","100","58","6","8","12","7","7","4","6","5","5","4","4","7","6"
"Respondent 231","37","78","180","46","64","4","9","2","6","5","6","6","6","5","4","6","6","7"
"Respondent 232","12","20","150","33","21","3","4","0","5","5","5","6","7","5","5","4","6","6"
"Respondent 233","36","78","180","45","64","5","9","2","6","6","7","6","6","4","4","6","6","6"
"Respondent 234","12","21","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 235","12","21","151","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 236","35","78","180","46","65","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 237","36","78","180","45","63","4","9","2","6","5","7","6","6","4","5","6","6","7"
"Respondent 238","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 239","13","21","149","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 240","5","11","61","5","8","1","8","0","4","4","4","7","7","4","4","3","4","6"
"Respondent 241","13","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 242","36","78","180","45","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 243","45","26","130","100","58","6","8","12","7","7","4","5","5","5","4","3","6","6"
"Respondent 244","37","78","179","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 245","45","27","130","99","58","6","8","12","7","7","5","6","5","5","4","3","6","6"
"Respondent 246","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 247","45","26","130","100","58","6","8","12","7","7","4","5","5","5","4","4","7","6"
"Respondent 248","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","6","6"
"Respondent 249","36","78","180","45","64","4","9","2","6","6","7","6","6","5","5","6","6","7"
"Respondent 250","6","11","59","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 251","12","20","150","31","20","3","4","1","5","5","5","6","7","5","4","4","5","5"
"Respondent 252","6","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 253","11","20","150","33","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 254","6","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 255","11","22","150","32","21","3","5","0","5","5","5","6","7","4","4","4","5","6"
"Respondent 256","36","77","180","45","64","4","9","2","6","5","7","6","6","4","5","6","6","7"
"Respondent 257","36","78","180","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 258","12","21","149","33","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 259","6","12","60","6","10","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 260","11","21","150","32","22","3","4","0","5","5","5","6","7","4","5","4","5","5"
"Respondent 261","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 262","12","20","150","33","22","3","4","1","5","5","5","7","7","5","4","4","6","6"
"Respondent 263","36","77","180","46","64","5","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 264","12","21","150","31","21","3","4","0","5","5","5","6","6","4","4","4","6","6"
"Respondent 265","12","22","151","32","21","3","5","0","5","5","5","6","7","4","4","4","5","5"
"Respondent 266","12","21","150","32","22","3","4","1","5","5","5","6","7","5","5","4","5","5"
"Respondent 267","12","21","149","33","21","3","4","1","5","5","5","6","7","5","4","4","6","6"
"Respondent 268","12","21","150","33","20","3","4","1","5","6","5","6","7","4","4","4","6","6"
"Respondent 269","45","26","130","99","58","6","8","12","6","7","5","5","4","5","4","4","6","6"
"Respondent 270","6","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","6"
"Respondent 271","12","20","150","32","21","3","4","0","5","5","5","6","6","5","4","4","5","6"
"Respondent 272","36","78","180","45","64","4","9","2","6","5","7","6","6","4","4","6","6","7"
"Respondent 273","12","21","150","32","20","3","4","1","5","5","5","6","7","5","4","4","5","5"
"Respondent 274","12","21","150","32","22","3","4","1","5","5","5","6","7","4","5","4","5","6"
"Respondent 275","7","10","60","6","8","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 276","12","21","150","31","21","3","4","0","5","5","5","7","6","5","5","4","5","6"
"Respondent 277","12","21","150","32","21","3","4","0","5","5","5","6","7","4","5","4","5","5"
"Respondent 278","12","21","150","31","21","3","5","0","5","5","5","6","7","5","4","4","6","5"
"Respondent 279","37","78","180","45","63","4","9","2","6","6","6","5","6","4","4","6","6","7"
"Respondent 280","12","21","151","32","20","3","4","0","5","5","5","6","7","4","5","4","6","5"
"Respondent 281","6","10","61","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 282","6","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 283","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 284","37","78","181","45","64","5","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 285","36","78","180","45","64","5","9","2","6","6","6","6","6","4","4","6","6","7"
"Respondent 286","37","79","180","45","65","4","9","2","6","5","6","6","6","4","5","6","6","6"
"Respondent 287","13","21","151","32","22","3","4","1","5","5","5","6","7","5","4","4","5","5"
"Respondent 288","46","26","130","101","57","6","8","12","6","7","4","5","5","5","4","4","7","6"
"Respondent 289","11","21","150","31","21","3","4","1","5","5","5","6","7","4","5","4","5","5"
"Respondent 290","5","11","60","5","9","1","9","0","4","4","4","7","7","3","3","3","4","5"
"Respondent 291","6","11","60","6","8","1","8","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 292","12","21","150","32","20","3","4","0","6","5","5","6","7","5","4","4","5","6"
"Respondent 293","12","21","149","33","21","3","4","0","5","5","5","6","7","5","4","4","5","5"
"Respondent 294","6","11","61","6","9","1","9","0","4","3","4","7","7","4","3","3","4","5"
"Respondent 295","44","26","130","100","58","6","8","12","7","7","4","6","4","5","4","4","6","6"
"Respondent 296","6","10","60","6","8","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 297","36","78","180","46","64","5","9","2","6","6","6","6","6","4","4","6","6","7"
"Respondent 298","12","21","151","31","22","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 299","12","21","150","32","21","3","5","1","5","5","5","6","7","5","5","4","5","6"
