"Timestamp","Food and drink prices","Quality and variety of beverages","Atmosphere, ambiance, and comfort","Consistency of product and experience across different Starbucks locations","WiFi Connection","Sanitary facilities (W.C./restroom)","Friendliness and level of customer service provided by Starbucks staff","Availability and accessibility of Starbucks locations","Please rate your overall experience at Starbucks"
"2022/05/29 4:29:36 PM GMT+2","4","4","5","6","4","5","5","5","5"
"2022/05/29 4:50:02 PM GMT+2","4","7","7","7","4","4","7","7","7"
"2022/05/29 4:50:31 PM GMT+2","3","4","3","4","2","5","3","3","4"
"2022/05/29 5:14:18 PM GMT+2","2","6","6","6","7","7","7","6","6"
"2022/05/29 5:18:02 PM GMT+2","4","4","7","6","7","7","6","6","5"
"2022/05/29 5:26:02 PM GMT+2","4","5","7","7","6","4","5","7","5"
"2022/05/29 5:30:57 PM GMT+2","3","6","6","6","7","5","6","6","6"
"2022/05/29 6:30:09 PM GMT+2","6","7","7","7","6","6","6","4","6"
"2022/05/29 6:40:56 PM GMT+2","2","2","5","5","6","5","5","5","5"
"2022/05/29 6:43:47 PM GMT+2","3","7","6","6","7","7","7","7","6"
"2022/05/29 7:17:49 PM GMT+2","4","4","4","4","4","4","4","4","4"
"2022/05/29 7:26:45 PM GMT+2","5","5","7","7","5","4","7","7","6"
"2022/05/29 7:51:05 PM GMT+2","5","7","6","6","7","6","6","6","6"
"2022/05/29 8:20:13 PM GMT+2","4","6","6","5","5","7","7","6","6"
"2022/05/29 9:27:31 PM GMT+2","5","5","6","7","4","4","6","7","6"
"2022/05/29 9:47:01 PM GMT+2","4","6","7","6","7","5","7","7","6"
"2022/05/29 9:53:19 PM GMT+2","5","5","5","5","4","3","4","6","6"
"2022/05/29 10:10:03 PM GMT+2","4","4","4","4","4","4","4","4","4"
"2022/05/29 10:54:35 PM GMT+2","2","7","4","7","5","4","6","4","5"
"2022/05/29 11:03:04 PM GMT+2","5","7","7","7","5","6","6","6","6"
"2022/05/29 11:20:26 PM GMT+2","6","6","6","6","6","6","6","6","6"
"2022/05/29 11:31:14 PM GMT+2","3","6","6","4","7","6","5","5","5"
"2022/05/30 12:09:54 AM GMT+2","5","3","2","5","3","3","6","5","4"
"2022/05/30 12:27:57 AM GMT+2","5","6","6","7","5","4","7","6","6"
"2022/05/30 12:29:46 AM GMT+2","6","6","7","5","5","7","6","6","7"
"2022/05/30 1:30:09 AM GMT+2","2","6","6","7","5","7","5","7","6"
"2022/05/30 2:36:34 AM GMT+2","4","4","2","6","6","6","6","3","3"
"2022/05/30 4:44:50 AM GMT+2","5","6","7","6","6","7","6","6","6"
"2022/05/30 5:09:26 AM GMT+2","3","6","5","6","2","7","7","7","5"
"2022/05/30 6:41:37 AM GMT+2","2","6","6","6","5","5","4","4","5"
"2022/05/30 8:01:28 AM GMT+2","3","3","5","5","6","5","5","5","4"
"2022/05/30 8:09:55 AM GMT+2","2","6","5","5","5","6","4","6","5"
"2022/05/30 8:26:00 AM GMT+2","5","6","7","7","5","6","7","6","7"
"2022/05/30 9:14:53 AM GMT+2","5","6","7","5","6","7","7","7","5"
"2022/05/30 9:28:12 AM GMT+2","3","6","3","7","6","3","4","7","4"
"2022/05/30 9:58:28 AM GMT+2","2","2","4","5","4","3","6","6","3"
"2022/05/30 9:59:59 AM GMT+2","5","5","7","7","7","4","7","7","6"
"2022/05/30 10:10:43 AM GMT+2","3","3","3","3","6","4","2","4","3"
"2022/05/30 10:15:02 AM GMT+2","5","4","3","3","5","5","4","3","4"
"2022/05/30 10:23:00 AM GMT+2","3","3","3","3","6","2","4","1","3"
"2022/05/30 10:40:42 AM GMT+2","2","3","6","6","7","6","5","6","3"
"2022/05/30 10:45:01 AM GMT+2","5","6","7","6","6","6","6","6","6"
"2022/05/30 10:49:03 AM GMT+2","2","4","5","4","4","5","5","6","5"
"2022/05/30 11:43:11 AM GMT+2","6","7","6","7","6","6","7","6","7"
"2022/05/30 12:28:38 PM GMT+2","6","6","7","7","5","7","6","7","6"
"2022/05/30 12:55:44 PM GMT+2","5","7","7","6","7","6","6","7","6"
"2022/05/30 12:58:50 PM GMT+2","5","6","6","4","6","4","6","3","5"
"2022/05/30 2:13:13 PM GMT+2","5","5","5","6","5","4","3","3","5"
"2022/05/30 2:16:15 PM GMT+2","1","4","6","7","2","4","6","6","5"
"2022/05/30 2:18:43 PM GMT+2","3","3","7","6","5","4","6","5","6"
"2022/05/30 2:51:31 PM GMT+2","3","5","6","5","6","5","6","6","5"
"2022/05/30 3:24:59 PM GMT+2","3","5","6","6","4","4","7","3","5"
"2022/05/30 3:43:43 PM GMT+2","5","6","4","7","3","5","6","7","6"
"2022/05/30 4:54:26 PM GMT+2","4","6","5","7","4","6","6","6","6"
"2022/05/30 5:05:19 PM GMT+2","2","5","6","6","5","5","5","6","5"
"2022/05/30 5:11:35 PM GMT+2","3","4","4","4","3","4","4","4","4"
"2022/05/30 6:33:31 PM GMT+2","6","5","4","7","6","6","5","7","5"
"2022/05/30 7:30:49 PM GMT+2","3","5","5","6","4","4","5","6","5"
"2022/05/30 9:07:19 PM GMT+2","4","4","4","4","4","4","4","4","4"
"2022/05/31 2:41:59 AM GMT+2","2","6","6","6","7","6","7","7","6"
"2022/05/31 5:05:20 AM GMT+2","5","6","5","6","5","5","7","6","6"
"2022/05/31 5:35:41 AM GMT+2","2","2","6","4","3","2","7","7","5"
"2022/05/31 5:36:46 AM GMT+2","3","7","7","7","5","7","5","7","7"
"2022/05/31 1:09:29 PM GMT+2","3","4","4","6","6","4","6","7","4"
"2022/05/31 2:04:06 PM GMT+2","2","5","6","6","4","4","5","7","5"
"2022/05/31 2:07:08 PM GMT+2","6","6","7","6","6","5","6","7","6"
"2022/05/31 2:15:37 PM GMT+2","5","7","6","6","5","3","5","7","5"
"2022/05/31 3:37:06 PM GMT+2","6","6","4","4","5","4","5","6","5"
"2022/05/31 4:07:23 PM GMT+2","2","4","6","4","5","5","6","6","4"
"2022/05/31 6:04:55 PM GMT+2","5","5","6","6","4","4","7","7","5"
"2022/06/01 9:41:38 AM GMT+2","3","2","3","6","6","6","6","6","3"
"2022/06/01 11:48:14 AM GMT+2","3","5","6","4","4","4","5","6","5"
"2022/06/02 8:48:43 AM GMT+2","3","6","5","6","4","3","6","6","5"
"2022/06/02 8:57:01 AM GMT+2","3","2","5","7","7","5","4","6","4"
"2022/06/02 1:49:15 PM GMT+2","5","5","5","7","6","4","5","5","5"
"2022/06/02 5:03:18 PM GMT+2","4","5","5","5","4","5","6","6","6"
"2022/06/02 6:07:10 PM GMT+2","6","6","6","6","3","3","5","5","6"
"2022/06/03 9:58:10 AM GMT+2","4","7","7","7","4","4","7","7","7"
